id,name,city
1,Loja,Viana do Castelo
2,RoadShow,Aveiro
3,RoadShow,Leiria
4,RoadShow,Afurada
5,RoadShow,Amarante
6,RoadShow,Anadia
7,RoadShow,Apúlia
8,RoadShow,Arcos de Valdevez
9,RoadShow,Arouca
10,RoadShow,Águeda
11,RoadShow,Barroselas
12,RoadShow,Beja
13,RoadShow,Braga
14,RoadShow,Caminha
15,RoadShow,Cantanhede
16,RoadShow,Caramulo
17,RoadShow,Castelo de Paiva
18,RoadShow,Coimbra
19,RoadShow,Covilhã
20,RoadShow,Curia
21,RoadShow,Durrães
22,RoadShow,Entre-os-Rios
23,RoadShow,Ermesinde
24,RoadShow,Espinho
25,RoadShow,Estarreja
26,RoadShow,Évora
27,RoadShow,Fafe
28,RoadShow,Famalicão
29,RoadShow,Famalicão-Moutados
30,RoadShow,Felgueiras
31,RoadShow,Fermentelos
32,RoadShow,Figueira da Foz
33,RoadShow,Furadouro
34,RoadShow,Gondomar
35,RoadShow,Guarda
36,RoadShow,Guimarães
37,RoadShow,Ílhavo
38,RoadShow,Lamego
39,RoadShow,Leiria
40,RoadShow,Maia
41,RoadShow,Mangualde
42,RoadShow,Matosinhos
43,RoadShow,Mealhada
44,RoadShow,Mira
45,RoadShow,Monção
46,RoadShow,Mondim de Bastos
47,RoadShow,Oliveira de Azeméis
48,RoadShow,Ovar
49,RoadShow,Paços de Ferreira
50,RoadShow,Paredes
51,RoadShow,Póvoa do Varzim
52,RoadShow,Póvoa do Lanhoso
53,RoadShow,Penafiel
54,RoadShow,Ponte de Lima
55,RoadShow,Porto
56,RoadShow,Sandim
57,RoadShow,São João da Madeira
58,RoadShow,Santa Maria da Feira
59,RoadShow,Santo Tirso
60,RoadShow,Tarouca
61,RoadShow,Trofa
62,RoadShow,Viana do Castelo
63,RoadShow,Vila do Conde
64,RoadShow,Vila Nova de Gaia
65,RoadShow,Vila Real
66,RoadShow,Vila Verde
67,RoadShow,Viseu
68,RoadShow,Vizela
69,RoadShow,Vouzela
70,Sede,Porto
